STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/15/2010,,0.02,0,41.5,45,38
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/16/2010,,0,0,42.5,46,39
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/17/2010,,0,0,48.5,61,36
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/18/2010,,0,0,48,63,33
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/19/2010,,0,0,49.5,66,33
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/20/2010,,0,0,54,67,41
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/21/2010,,0,0,55.5,68,43
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/22/2010,,0.35,0,49,56,42
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/23/2010,,0.25,0,39,43,35
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/24/2010,,0,0,49.5,62,37
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/25/2010,,0,0,54.5,67,42
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/26/2010,,0.97,0,43.5,57,30
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/27/2010,,0,0,38.5,47,30
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/28/2010,,0.18,0,45.5,60,31
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/29/2010,,0.47,0,42.5,52,33
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/30/2010,,0,0,44.5,57,32
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,3/31/2010,,0,0,51,64,38
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/1/2010,,0,0,62,78,46
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/2/2010,,0,0,70,81,59
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/3/2010,,0,0,70.5,81,60
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/4/2010,,0.21,0,55,64,46
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/5/2010,,0,0,63,77,49
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/6/2010,,0.01,0,72,80,64
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/7/2010,,0,0,74,84,64
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/8/2010,,1.81,0,59,70,48
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/9/2010,,0.01,0,45,54,36
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/10/2010,,0,0,47.5,59,36
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/11/2010,,0,0,56.5,71,42
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/12/2010,,0,0,61.5,76,47
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/13/2010,,0,0,63,75,51
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/14/2010,,0,0,68.5,82,55
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/15/2010,,0,0,70,85,55
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/16/2010,,0,0,72.5,84,61
USC00120784,"BLOOMINGTON INDIANA UNIVERSITY, IN US",39.17399,-86.52076,253,4/17/2010,,0.07,0,59.5,78,41
